epoch,accuracy,loss,val_accuracy,val_loss
0,0.3570440113544464,1.3366259336471558,0.39769452810287476,1.3086920976638794
1,0.6241350769996643,1.0157884359359741,0.6109510064125061,0.9928671717643738
2,0.796567976474762,0.5792171359062195,0.6974063515663147,0.8300279974937439
3,0.8508164882659912,0.39966243505477905,0.6974063515663147,0.8193098306655884
4,0.8884583711624146,0.31591054797172546,0.6974063515663147,0.855440080165863
5,0.9130915999412537,0.24886691570281982,0.6945244669914246,0.9280040264129639
6,0.9352338910102844,0.20344509184360504,0.6685879230499268,0.9706450700759888
7,0.948519229888916,0.166429802775383,0.6772334575653076,1.0257822275161743
8,0.9598671197891235,0.1419048011302948,0.6829971075057983,1.0748685598373413
9,0.9612510204315186,0.12264572829008102,0.6829971075057983,1.1236704587936401
10,0.9698311686515808,0.10692397505044937,0.6916426420211792,1.1505763530731201
11,0.9681705236434937,0.10004472732543945,0.6829971075057983,1.2393951416015625
12,0.9748131632804871,0.09010878950357437,0.6743515729904175,1.2747690677642822
13,0.9695543646812439,0.08981495350599289,0.6858789920806885,1.351606845855713
14,0.9731525182723999,0.08400236070156097,0.6829971075057983,1.3086029291152954
15,0.975643515586853,0.07515832781791687,0.6887608170509338,1.3444103002548218
16,0.9761970639228821,0.07323694974184036,0.6887608170509338,1.3644702434539795
17,0.9759202599525452,0.07014677673578262,0.6945244669914246,1.398607611656189
18,0.9775809645652771,0.06523799896240234,0.6887608170509338,1.4306052923202515
19,0.975089967250824,0.06823568046092987,0.680115282535553,1.472679853439331
20,0.9775809645652771,0.06209244579076767,0.6916426420211792,1.4362019300460815
21,0.9775809645652771,0.060487985610961914,0.6858789920806885,1.4825987815856934
22,0.977027416229248,0.058806728571653366,0.6916426420211792,1.4739563465118408
23,0.9761970639228821,0.05842623859643936,0.6916426420211792,1.4906671047210693
24,0.9795184135437012,0.05271707475185394,0.680115282535553,1.5616099834442139
